# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	vsini	vsini uperr	vsini loerr	ra	dec
25439	19.548	18.599	17.485	0.009	0.007	0.022	17.64588868	6.013249585	15.9175661	76.8964624	-67.46415368
25394	20.584	20.453	20.323	0.009	0.014	0.024	20.06525715	76.89027294	199.8143568	76.88165042	-67.46074608
25435	22.197	21.817	21.29	0.01	0.019	0.012	75.62100835	28.58294232	42.51940856	76.90573027	-67.46630992
25434	20.885	20.52	20.002	0.003	0.008	0.007	157.963546	13.25015779	13.25015779	76.88083121	-67.46052121
25475	21.01	20.74	20.365	0.005	0.004	0.01	138.6732575	17.30503588	17.30503588	76.90274417	-67.46558841
25467	20.978	20.631	20.122	0.008	0.025	0.024	142.4058114	14.24579491	14.24579491	76.88840833	-67.46225941
25472	19.956	19.104	18.1	0.003	0.002	0.018	10.85477167	11.27702015	31.38287088	76.88427172	-67.46129407
25500	20.785	20.418	19.911	0.003	0.011	0.011	144.0909048	13.01909202	13.01909202	76.88793618	-67.46212855
25508	20.404	20.166	19.837	0.022	0.003	0.014	28.67534102	47.62902026	115.5714928	76.88933159	-67.46244792
25502	20.935	20.564	19.995	0.008	0.03	0.032	167.164861	21.95812746	21.95812746	76.90381536	-67.46581974
25547	19.895	19.066	18.076	0.011	0.026	0.015	23.97260571	6.212775521	15.6595982	76.90359771	-67.46572112
25553	19.528	18.515	17.372	0.007	99	0.054	10.94394606	7.650477809	21.2769051	76.9119627	-67.46765909
25588	21.306	21.045	20.666	0.017	0.005	0.025	55.32275484	25.68623297	48.63803552	76.87440631	-67.45889845
25509	20.462	20.21	19.823	0.007	0.017	0.017	40.28571916	14.91937183	32.73736302	76.89554764	-67.46389298
